2017-09-28 10:25:54,950 | INFO  | Listening for connections at: stomp://jameszhou-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-28 10:25:54,950 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2017-09-28 10:25:54,950 | INFO  | Listening for connections at: mqtt://jameszhou-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-09-28 10:25:54,950 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2017-09-28 10:25:55,098 | INFO  | Listening for connections at ws://jameszhou-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2017-09-28 10:25:55,098 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2017-09-28 10:25:55,098 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:jameszhou-PC-52004-1506565554712-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-09-28 10:25:55,098 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-09-28 10:25:55,395 | INFO  | Welcome to hawtio 1.2-M23 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-) | io.hawt.jmx.JmxTreeWatcher | main
2017-09-28 10:25:55,395 | INFO  | Starting hawtio authentication filter, JAAS realm: "activemq" authorized role: "admins" role principal classes: "org.apache.activemq.jaas.GroupPrincipal" | io.hawt.web.AuthenticationFilter | main
2017-09-28 10:25:55,473 | INFO  | Using file upload directory: G:\app_server\apache-activemq-5.9.0\bin\..\data\tmp\uploads | io.hawt.web.UploadServlet | main
2017-09-28 10:25:55,473 | INFO  | jolokia-agent: Using access restrictor classpath:/jolokia-access.xml | /hawtio | main
2017-09-28 10:25:55,660 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2017-09-28 10:25:55,707 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
